,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
,,,,,,,9.982877e+000,8.513771e-003,2.171076e-001,1.705675e+001,8.970986e+002,,,8.033900e-001,1.020260e+002,1.016168e+002,,,,,,
,,,,,,,1.024153e+001,6.589265e-003,2.190537e-001,1.286773e+001,9.009509e+002,,,8.080220e-001,1.020400e+002,1.016258e+002,,,,,,
,,,,,,,1.050689e+001,4.939275e-003,2.205761e-001,9.401973e+000,9.038878e+002,,,8.130370e-001,1.020380e+002,1.016357e+002,,,,,,
,,,,,,,1.077912e+001,3.569817e-003,2.217264e-001,6.623577e+000,9.060518e+002,,,8.178010e-001,1.020390e+002,1.016450e+002,,,,,,
,,,,,,,1.105841e+001,2.452461e-003,2.225605e-001,4.435467e+000,9.075810e+002,,,8.227580e-001,1.020360e+002,1.016573e+002,,,,,,
,,,,,,,1.134493e+001,1.586808e-003,2.231330e-001,2.797386e+000,9.086041e+002,,,8.277480e-001,1.020310e+002,1.016718e+002,,,,,,
,,,,,,,1.163888e+001,9.500664e-004,2.234995e-001,1.632574e+000,9.092447e+002,,,8.329340e-001,1.020120e+002,1.016869e+002,,,,,,
,,,,,,,1.194044e+001,5.080041e-004,2.237140e-001,8.508966e-001,9.096091e+002,,,8.381360e-001,1.019790e+002,1.017019e+002,,,,,,
,,,,,,,1.224982e+001,2.399328e-004,2.238257e-001,3.917329e-001,9.097941e+002,,,8.428720e-001,1.019610e+002,1.017099e+002,,,,,,
,,,,,,,1.256721e+001,9.460150e-005,2.238762e-001,1.505529e-001,9.098740e+002,,,8.477530e-001,1.019370e+002,1.017141e+002,,,,,,
,,,,,,,1.289283e+001,2.727061e-005,2.238944e-001,4.230354e-002,9.099028e+002,,,8.528250e-001,1.019100e+002,1.017186e+002,,,,,,
,,,,,,,1.322688e+001,7.545534e-006,2.238993e-001,1.140939e-002,9.099100e+002,,,8.576860e-001,1.018650e+002,1.017228e+002,,,,,,
,,,,,,,1.356959e+001,2.199074e-005,2.239037e-001,3.241181e-002,9.099166e+002,,,8.623820e-001,1.018440e+002,1.017293e+002,,,,,,
,,,,,,,1.392117e+001,5.451029e-005,2.239168e-001,7.831278e-002,9.099355e+002,,,8.674050e-001,1.018030e+002,1.017388e+002,,,,,,
,,,,,,,1.428187e+001,9.696275e-005,2.239440e-001,1.357844e-001,9.099741e+002,,,8.728750e-001,1.017780e+002,1.017491e+002,,,,,,
,,,,,,,1.465191e+001,1.418883e-004,2.239882e-001,1.936789e-001,9.100352e+002,,,8.780940e-001,1.017520e+002,1.017589e+002,,,,,,
,,,,,,,1.503154e+001,1.808155e-004,2.240502e-001,2.405813e-001,9.101183e+002,,,8.829040e-001,1.016910e+002,1.017678e+002,,,,,,
,,,,,,,1.542101e+001,2.118367e-004,2.241273e-001,2.747378e-001,9.102195e+002,,,8.877800e-001,1.016660e+002,1.017767e+002,,,,,,
,,,,,,,1.582057e+001,2.251977e-004,2.242152e-001,2.846898e-001,9.103321e+002,,,8.924420e-001,1.016250e+002,1.017852e+002,,,,,,
,,,,,,,1.623048e+001,2.219148e-004,2.243074e-001,2.734544e-001,9.104469e+002,,,8.972310e-001,1.015710e+002,1.017939e+002,,,,,,
,,,,,,,1.665101e+001,2.038720e-004,2.243975e-001,2.448765e-001,9.105565e+002,,,9.024850e-001,1.015350e+002,1.018038e+002,,,,,,
,,,,,,,1.708244e+001,1.723366e-004,2.244792e-001,2.017705e-001,9.106533e+002,,,9.075280e-001,1.014830e+002,1.018136e+002,,,,,,
,,,,,,,1.752504e+001,1.349154e-004,2.245475e-001,1.539686e-001,9.107322e+002,,,9.123550e-001,1.014400e+002,1.018229e+002,,,,,,
,,,,,,,1.797912e+001,9.408855e-005,2.245994e-001,1.046643e-001,9.107908e+002,,,9.170160e-001,1.013870e+002,1.018316e+002,,,,,,
,,,,,,,1.844495e+001,5.743402e-005,2.246341e-001,6.227614e-002,9.108296e+002,,,9.221820e-001,1.013250e+002,1.018455e+002,,,,,,
,,,,,,,1.892286e+001,2.842972e-005,2.246540e-001,3.004801e-002,9.108509e+002,,,9.271470e-001,1.012930e+002,1.018644e+002,,,,,,
,,,,,,,1.941315e+001,1.228885e-005,2.246635e-001,1.266034e-002,9.108609e+002,,,9.319110e-001,1.012520e+002,1.018755e+002,,,,,,
,,,,,,,1.991615e+001,4.530422e-006,2.246675e-001,4.549497e-003,9.108648e+002,,,9.368140e-001,1.012080e+002,1.018760e+002,,,,,,
,,,,,,,2.043217e+001,1.257473e-006,2.246689e-001,1.230876e-003,9.108661e+002,,,9.420270e-001,1.011680e+002,1.018841e+002,,,,,,
,,,,,,,2.096157e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,9.469320e-001,1.011520e+002,1.019031e+002,,,,,,
,,,,,,,2.150468e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,9.517160e-001,1.011390e+002,1.019157e+002,,,,,,
,,,,,,,2.206187e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,9.568750e-001,1.011240e+002,1.019179e+002,,,,,,
,,,,,,,2.263349e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,9.619510e-001,1.011350e+002,1.019239e+002,,,,,,
,,,,,,,2.321992e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,9.669950e-001,1.011850e+002,1.019360e+002,,,,,,
,,,,,,,2.382155e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,9.719670e-001,1.012700e+002,1.019773e+002,,,,,,
,,,,,,,2.443876e+001,0.000000e+000,2.246692e-001,0.000000e+000,9.108664e+002,,,9.770980e-001,1.014530e+002,1.024812e+002,,,,,,
