,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
,,,,,,,11.34493285,0.007589961,0.188141998,13.38035434,817.7827488,,,9.39E-01,1.10E+02,109.9668225,,,,,
,,,,,,,11.63887954,0.006405076,0.190197182,11.00634463,821.0180274,,,9.49E-01,1.11E+02,110.4875375,,,,,
,,,,,,,11.94044238,0.005274725,0.191955818,8.835058614,823.6823527,,,9.59E-01,1.11E+02,111.0596542,,,,,
,,,,,,,12.24981869,0.004226748,0.193422436,6.900915665,825.8173326,,,9.68E-01,1.12E+02,112.3450788,,,,,
,,,,,,,12.56721094,0.003282697,0.194610589,5.224225404,827.4754612,,,9.77E-01,1.13E+02,115.4205385,,,,,
,,,,,,,12.8928268,0.002454552,0.195540802,3.80762493,828.7152843,,,9.84E-01,1.14E+02,115.9571664,,,,,
,,,,,,,13.22687935,0.001751676,0.19623926,2.648660843,829.6000762,,,9.90E-01,1.17E+02,115.977287,,,,,
,,,,,,,13.56958719,0.001178135,0.196737191,1.736434891,830.1951661,,,9.94E-01,1.20E+02,116.0024395,,,,,
,,,,,,,13.92117457,0.000732935,0.197069073,1.05297906,830.5653802,,,,,,,,,,
,,,,,,,14.28187157,0.00041309,0.19727189,0.57848171,830.7740368,,,,,,,,,,
,,,,,,,14.65191421,0.000202295,0.197382572,0.276134973,830.8762185,,,,,,,,,,
,,,,,,,15.03154464,7.84E-05,0.197433334,0.104296787,830.9158128,,,,,,,,,,
,,,,,,,15.42101127,2.03E-05,0.197450722,0.026291929,830.9260526,,,,,,,,,,
,,,,,,,15.82056897,5.83E-06,0.197454829,0.007365373,830.9289955,,,,,,,,,,
,,,,,,,16.23047919,1.43E-05,0.197458497,0.017568934,830.9361972,,,,,,,,,,
,,,,,,,16.65101016,3.46E-05,0.197468314,0.041603559,830.9536928,,,,,,,,,,
,,,,,,,17.08243707,7.22E-05,0.197490657,0.084526831,830.9901599,,,,,,,,,,
,,,,,,,17.52504224,0.000132964,0.197535196,0.151741572,831.0573215,,,,,,,,,,
,,,,,,,17.97911528,0.000214835,0.197613612,0.238982521,831.165837,,,,,,,,,,
,,,,,,,18.44495334,0.000308684,0.197735351,0.334708258,831.3217569,,,,,,,,,,
,,,,,,,18.92286123,0.000406193,0.197906259,0.429314548,831.5269297,,,,,,,,,,
,,,,,,,19.4131517,0.000501935,0.198129137,0.517107969,831.7804628,,,,,,,,,,
,,,,,,,19.91614558,0.000592017,0.198404673,0.594509284,832.0794973,,,,,,,,,,
,,,,,,,20.432172,0.000673314,0.198731652,0.659072222,832.419596,,,,,,,,,,
,,,,,,,20.96156864,0.000744352,0.199107462,0.710206396,832.7955769,,,,,,,,,,
,,,,,,,21.50468193,0.000804137,0.199528562,0.747871403,833.2017558,,,,,,,,,,
,,,,,,,22.06186725,0.000852416,0.19999064,0.772750667,833.6323211,,,,,,,,,,
,,,,,,,22.63348922,0.00089004,0.200489184,0.786480433,834.0818906,,,,,,,,,,
,,,,,,,23.2199219,0.000917932,0.201019797,0.790641887,834.5455489,,,,,,,,,,
,,,,,,,23.82154901,0.000937286,0.201578289,0.786922992,835.0189831,,,,,,,,,,
,,,,,,,24.43876426,0.000949489,0.202160912,0.777034875,835.4985808,,,,,,,,,,
,,,,,,,25.07197152,0.000955825,0.202764427,0.762465358,835.9813794,,,,,,,,,,
,,,,,,,25.72158516,0.000957478,0.203386107,0.744493942,836.4650129,,,,,,,,,,
,,,,,,,26.38803025,0.00095553,0.204023733,0.72421454,836.9476621,,,,,,,,,,
,,,,,,,27.07174291,0.000950898,0.204675584,0.702502018,837.4279716,,,,,,,,,,
,,,,,,,27.77317053,0.000944188,0.205340313,0.679928045,837.9048919,,,,,,,,,,
,,,,,,,28.49277211,0.000935906,0.20601684,0.656942879,838.3776291,,,,,,,,,,
,,,,,,,29.23101853,0.000926354,0.206704305,0.633815775,838.8455413,,,,,,,,,,
,,,,,,,29.98839289,0.000915562,0.207401876,0.610610789,839.3080022,,,,,,,,,,
,,,,,,,30.76539078,0.000903535,0.208108654,0.587371087,839.7643883,,,,,,,,,,
,,,,,,,31.56252065,0.000890195,0.208823641,0.564083868,840.2140364,,,,,,,,,,
,,,,,,,32.38030411,0.000875409,0.209545659,0.5407049,840.656216,,,,,,,,,,
,,,,,,,33.21927631,0.000859072,0.210273331,0.517212664,841.090143,,,,,,,,,,
,,,,,,,34.07998624,0.00084116,0.211005113,0.493638413,841.5150225,,,,,,,,,,
,,,,,,,34.96299713,0.000821685,0.211739346,0.470031493,841.9300654,,,,,,,,,,
,,,,,,,35.86888679,0.000800686,0.212474263,0.446451781,842.3345015,,,,,,,,,,
,,,,,,,36.798248,0.000778257,0.213208029,0.422985867,842.7276081,,,,,,,,,,
,,,,,,,37.75168893,0.0007545,0.213938779,0.39971696,843.1087146,,,,,,,,,,
,,,,,,,38.72983346,0.000729562,0.214664628,0.376744331,843.477225,,,,,,,,,,
,,,,,,,39.73332168,0.000703652,0.215383752,0.354187564,843.8326481,,,,,,,,,,
,,,,,,,40.76281023,0.000676974,0.216094419,0.33215277,844.1745956,,,,,,,,,,
,,,,,,,41.81897278,0.000649806,0.216795035,0.3107711,844.5028204,,,,,,,,,,
,,,,,,,42.90250045,0.000622468,0.217484246,0.290177985,844.8172362,,,,,,,,,,
,,,,,,,44.01410227,0.000595256,0.218160967,0.270484061,845.1179068,,,,,,,,,,
,,,,,,,45.15450565,0.000568469,0.218824406,0.251788588,845.4050474,,,,,,,,,,
,,,,,,,46.32445683,0.000542391,0.219474085,0.23417047,845.6790154,,,,,,,,,,
,,,,,,,47.52472139,0.000517271,0.220109851,0.217685101,845.9402951,,,,,,,,,,
,,,,,,,48.75608475,0.000493329,0.220731865,0.202366276,846.1894815,,,,,,,,,,
,,,,,,,50.01935267,0.000470759,0.221340602,0.188230801,846.4272674,,,,,,,,,,
,,,,,,,51.31535182,0.000449713,0.221936838,0.17527417,846.6544226,,,,,,,,,,
,,,,,,,52.64493024,0.0004303,0.22252162,0.163472629,846.8717723,,,,,,,,,,
,,,,,,,54.00895797,0.00041261,0.223096246,0.152793087,847.0801863,,,,,,,,,,
,,,,,,,55.4083276,0.000396664,0.223662232,0.143178424,847.2805458,,,,,,,,,,
,,,,,,,56.84395484,0.000382445,0.224221238,0.134559647,847.4737233,,,,,,,,,,
,,,,,,,58.31677911,0.000369911,0.224775043,0.126862541,847.6605696,,,,,,,,,,
,,,,,,,59.82776419,0.000358916,0.225325448,0.119982989,847.8418621,,,,,,,,,,
,,,,,,,61.37789883,0.000349294,0.225874159,0.113817365,848.0182943,,,,,,,,,,
,,,,,,,62.96819738,0.000340814,0.226422742,0.108249553,848.1904434,,,,,,,,,,
,,,,,,,64.5997005,0.000333097,0.226972381,0.103126633,848.3586948,,,,,,,,,,
,,,,,,,66.27347578,0.000325774,0.227523727,0.098312047,848.5232471,,,,,,,,,,
,,,,,,,67.99061851,0.000318444,0.22807684,0.09367296,848.684097,,,,,,,,,,
,,,,,,,69.75225233,0.000310676,0.228631045,0.089079914,848.8410232,,,,,,,,,,
,,,,,,,71.55953,0.000302097,0.22918488,0.084432481,848.9936161,,,,,,,,,,
,,,,,,,73.41363415,0.000292551,0.229736265,0.079699349,849.141387,,,,,,,,,,
,,,,,,,75.31577806,0.000281997,0.230282821,0.074884032,849.2838272,,,,,,,,,,
,,,,,,,77.26720642,0.000270449,0.230821953,0.070003562,849.4204341,,,,,,,,,,
,,,,,,,79.26919621,0.000258099,0.231351088,0.065119604,849.5508029,,,,,,,,,,
,,,,,,,81.32305746,0.000245173,0.231867937,0.060296033,849.6746426,,,,,,,,,,
,,,,,,,83.43013416,0.000231903,0.232370532,0.055592107,849.7917794,,,,,,,,,,
,,,,,,,85.59180513,0.000218551,0.232857329,0.051068181,849.902172,,,,,,,,,,
,,,,,,,87.80948488,0.00020536,0.233327266,0.046774023,850.0059018,,,,,,,,,,
,,,,,,,90.08462462,0.000192538,0.233779753,0.042745999,850.103155,,,,,,,,,,
,,,,,,,92.41871313,0.000180258,0.23421464,0.039009038,850.1942055,,,,,,,,,,
,,,,,,,94.81327776,0.00016867,0.234632198,0.035579325,850.2794025,,,,,,,,,,
,,,,,,,97.26988546,0.000157844,0.23503304,0.032454941,850.3591316,,,,,,,,,,
,,,,,,,99.79014374,0.000147816,0.235417987,0.029625418,850.4337953,,,,,,,,,,
,,,,,,,102.3757018,0.0001386,0.235788037,0.027076723,850.5038037,,,,,,,,,,
,,,,,,,105.0282516,0.000130158,0.236144271,0.024785385,850.5695482,,,,,,,,,,
,,,,,,,107.7495288,0.000122444,0.236487767,0.022727528,850.6313961,,,,,,,,,,
,,,,,,,110.5413141,0.000115406,0.236819588,0.020880218,850.6896892,,,,,,,,,,
,,,,,,,113.4054345,0.000108987,0.237140752,0.019220747,850.7447397,,,,,,,,,,
,,,,,,,116.3437641,0.00010313,0.237452219,0.017728428,850.7968317,,,,,,,,,,
,,,,,,,119.3582258,9.78E-05,0.237754877,0.016383737,850.8462198,,,,,,,,,,
,,,,,,,122.4507919,9.29E-05,0.23804953,0.015168432,850.8931292,,,,,,,,,,
,,,,,,,125.6234864,8.84E-05,0.238336884,0.014066235,850.937757,,,,,,,,,,
,,,,,,,128.8783851,8.42E-05,0.238617546,0.013062292,850.9802735,,,,,,,,,,
,,,,,,,132.2176182,8.03E-05,0.238892015,0.012143333,851.0208229,,,,,,,,,,
,,,,,,,135.6433707,7.66E-05,0.239160679,0.011297786,851.0595263,,,,,,,,,,
,,,,,,,139.1578842,7.32E-05,0.239423822,0.010515749,851.0964841,,,,,,,,,,
,,,,,,,142.7634586,6.99E-05,0.239681625,0.009788621,851.1317777,,,,,,,,,,
,,,,,,,146.4624533,6.67E-05,0.239934169,0.009109191,851.1654725,,,,,,,,,,
,,,,,,,150.2572888,6.36E-05,0.240181451,0.008471612,851.1976209,,,,,,,,,,
,,,,,,,154.1504482,6.07E-05,0.240423385,0.007870876,851.2282635,,,,,,,,,,
,,,,,,,158.1444793,5.77E-05,0.240659816,0.007303441,851.2574336,,,,,,,,,,
,,,,,,,162.2419955,5.49E-05,0.240890551,0.006766824,851.2851608,,,,,,,,,,
,,,,,,,166.4456782,5.21E-05,0.241115365,0.006258696,851.3114704,,,,,,,,,,
,,,,,,,170.7582781,4.93E-05,0.241333986,0.005776327,851.3363814,,,,,,,,,,
,,,,,,,175.1826173,4.66E-05,0.241546081,0.00531708,851.3599059,,,,,,,,,,
,,,,,,,179.7215909,4.38E-05,0.241751248,0.004879103,851.3820521,,,,,,,,,,
,,,,,,,184.3781691,4.11E-05,0.241949068,0.004462013,851.4028298,,,,,,,,,,
,,,,,,,189.1553991,3.85E-05,0.24213913,0.004065625,851.4222522,,,,,,,,,,
,,,,,,,194.0564068,3.58E-05,0.242321064,0.00369099,851.4403418,,,,,,,,,,
,,,,,,,199.0843995,3.33E-05,0.242494629,0.003340653,851.4571385,,,,,,,,,,
,,,,,,,204.2426671,3.08E-05,0.242659768,0.003016791,851.4727,,,,,,,,,,
,,,,,,,209.5345853,2.85E-05,0.242816656,0.002723047,851.4871101,,,,,,,,,,
,,,,,,,214.9636168,2.65E-05,0.242965834,0.002463561,851.5004848,,,,,,,,,,
,,,,,,,220.5333143,2.47E-05,0.243108239,0.0022417,851.5129704,,,,,,,,,,
,,,,,,,226.2473224,2.33E-05,0.243245281,0.002061575,851.5247503,,,,,,,,,,
,,,,,,,232.1093802,2.24E-05,0.243378932,0.001926642,851.5360444,,,,,,,,,,
,,,,,,,238.1233236,2.19E-05,0.243511733,0.001838803,851.5471028,,,,,,,,,,
,,,,,,,244.2930881,2.20E-05,0.243646741,0.001798124,851.5581968,,,,,,,,,,
,,,,,,,250.6227108,2.26E-05,0.24378749,0.001803862,851.5696146,,,,,,,,,,
,,,,,,,257.1163338,2.38E-05,0.243937974,0.001854287,851.5816556,,,,,,,,,,
,,,,,,,263.7782063,2.57E-05,0.244102591,0.001946755,851.5946247,,,,,,,,,,
,,,,,,,270.6126875,2.81E-05,0.244286114,0.002078129,851.6088276,,,,,,,,,,
,,,,,,,277.6242499,3.11E-05,0.244493529,0.002241804,851.6245462,,,,,,,,,,
,,,,,,,284.8174815,3.46E-05,0.244729685,0.0024297,851.6420235,,,,,,,,,,
,,,,,,,292.1970894,3.85E-05,0.244999191,0.002633644,851.6614588,,,,,,,,,,
,,,,,,,299.7679027,4.26E-05,0.245306023,0.002841238,851.6829693,,,,,,,,,,
,,,,,,,307.5348753,4.68E-05,0.245653055,0.003040566,851.7065853,,,,,,,,,,
,,,,,,,315.5030899,5.08E-05,0.24604193,0.003219851,851.7322417,,,,,,,,,,
,,,,,,,323.6777605,5.45E-05,0.246472534,0.003365008,851.7597496,,,,,,,,,,
,,,,,,,332.0642365,5.75E-05,0.246942636,0.003464335,851.7888031,,,,,,,,,,
,,,,,,,340.6680057,5.98E-05,0.24744793,0.00350984,851.819001,,,,,,,,,,
,,,,,,,349.4946981,6.11E-05,0.24798223,0.003496806,851.8498662,,,,,,,,,,
,,,,,,,358.5500898,6.14E-05,0.24853755,0.003422425,851.8808576,,,,,,,,,,
,,,,,,,367.8401062,6.05E-05,0.249104252,0.003286998,851.9113939,,,,,,,,,,
,,,,,,,377.3708266,5.84E-05,0.249671342,0.003092641,851.940869,,,,,,,,,,
,,,,,,,387.1484874,5.50E-05,0.250226573,0.002842955,851.9686664,,,,,,,,,,
,,,,,,,397.1794871,5.06E-05,0.250756998,0.002545935,851.9942047,,,,,,,,,,
,,,,,,,407.4703894,4.50E-05,0.251249579,0.002209992,852.0169475,,,,,,,,,,
,,,,,,,418.0279286,3.85E-05,0.251691087,0.001840336,852.0363769,,,,,,,,,,
,,,,,,,428.8590131,3.08E-05,0.252067126,0.001437151,852.0519428,,,,,,,,,,
,,,,,,,439.9707305,2.21E-05,0.252361583,0.001002436,852.0630816,,,,,,,,,,
,,,,,,,451.370352,1.31E-05,0.252561071,0.000580908,852.0697038,,,,,,,,,,
,,,,,,,463.0653372,5.82E-06,0.252669138,0.000251583,852.072646,,,,,,,,,,
,,,,,,,475.063339,1.69E-06,0.252710724,7.09E-05,852.0734971,,,,,,,,,,
,,,,,,,487.3722084,2.05E-07,0.252720322,8.42E-06,852.0736008,,,,,,,,,,
