,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
,,,,,,,1.16E+01,0.00E+00,4.84E-01,0.00E+00,1.57E+03,,,3.62E-01,3.34E+02,3.34E+02,,,,,
,,,,,,,1.19E+01,5.03E-08,4.84E-01,8.43E-05,1.57E+03,,,3.98E-01,3.35E+02,3.35E+02,,,,,
,,,,,,,1.22E+01,2.07E-05,4.84E-01,3.38E-02,1.57E+03,,,4.48E-01,3.35E+02,3.35E+02,,,,,
,,,,,,,1.26E+01,1.33E-04,4.84E-01,2.12E-01,1.57E+03,,,4.97E-01,3.36E+02,3.36E+02,,,,,
,,,,,,,1.29E+01,3.95E-04,4.84E-01,6.13E-01,1.57E+03,,,5.48E-01,3.36E+02,3.36E+02,,,,,
,,,,,,,1.32E+01,7.64E-04,4.84E-01,1.16E+00,1.57E+03,,,5.97E-01,3.37E+02,3.37E+02,,,,,
,,,,,,,1.36E+01,1.17E-03,4.84E-01,1.73E+00,1.57E+03,,,6.47E-01,3.37E+02,3.37E+02,,,,,
,,,,,,,1.39E+01,1.50E-03,4.85E-01,2.15E+00,1.57E+03,,,6.96E-01,3.38E+02,3.38E+02,,,,,
,,,,,,,1.43E+01,1.73E-03,4.85E-01,2.42E+00,1.57E+03,,,7.47E-01,3.38E+02,3.38E+02,,,,,
,,,,,,,1.47E+01,1.85E-03,4.86E-01,2.53E+00,1.58E+03,,,7.80E-01,3.39E+02,3.39E+02,,,,,
,,,,,,,1.50E+01,1.87E-03,4.87E-01,2.49E+00,1.58E+03,,,8.12E-01,3.39E+02,3.39E+02,,,,,
,,,,,,,1.54E+01,1.82E-03,4.87E-01,2.36E+00,1.58E+03,,,8.42E-01,3.40E+02,3.40E+02,,,,,
,,,,,,,1.58E+01,1.69E-03,4.88E-01,2.14E+00,1.58E+03,,,8.71E-01,3.40E+02,3.40E+02,,,,,
,,,,,,,1.62E+01,1.52E-03,4.89E-01,1.87E+00,1.58E+03,,,8.96E-01,3.41E+02,3.41E+02,,,,,
,,,,,,,1.67E+01,1.32E-03,4.89E-01,1.58E+00,1.58E+03,,,9.18E-01,3.42E+02,3.42E+02,,,,,
,,,,,,,1.71E+01,1.12E-03,4.90E-01,1.31E+00,1.58E+03,,,9.37E-01,3.43E+02,3.43E+02,,,,,
,,,,,,,1.75E+01,9.23E-04,4.90E-01,1.05E+00,1.58E+03,,,9.61E-01,3.45E+02,3.47E+02,,,,,
,,,,,,,1.80E+01,7.47E-04,4.91E-01,8.31E-01,1.58E+03,,,9.77E-01,3.49E+02,3.47E+02,,,,,
,,,,,,,1.84E+01,5.93E-04,4.91E-01,6.43E-01,1.58E+03,,,,,,,,,,
,,,,,,,1.89E+01,4.64E-04,4.91E-01,4.90E-01,1.58E+03,,,,,,,,,,
,,,,,,,1.94E+01,3.61E-04,4.91E-01,3.72E-01,1.58E+03,,,,,,,,,,
,,,,,,,1.99E+01,2.82E-04,4.92E-01,2.83E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.04E+01,2.25E-04,4.92E-01,2.21E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.10E+01,1.88E-04,4.92E-01,1.80E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.15E+01,1.67E-04,4.92E-01,1.55E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.21E+01,1.58E-04,4.92E-01,1.43E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.26E+01,1.58E-04,4.92E-01,1.40E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.32E+01,1.62E-04,4.92E-01,1.40E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.38E+01,1.69E-04,4.92E-01,1.42E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.44E+01,1.75E-04,4.92E-01,1.43E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.51E+01,1.79E-04,4.93E-01,1.43E-01,1.58E+03,,,,,,,,,,
,,,,,,,2.57E+01,1.80E-04,4.93E-01,1.40E-01,1.58E+03,,,,,,,,,,
