,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
,,,,,,,2.707174e+001,5.070641e-004,5.753507e-001,3.746076e-001,1.873362e+003,,,,,,,,,,,
,,,,,,,2.777317e+001,5.135516e-004,5.757093e-001,3.698185e-001,1.873623e+003,,,,,,,,,,,
,,,,,,,2.849277e+001,5.103890e-004,5.760782e-001,3.582586e-001,1.873886e+003,,,,,,,,,,,
,,,,,,,2.923102e+001,4.992028e-004,5.764513e-001,3.415569e-001,1.874144e+003,,,,,,,,,,,
,,,,,,,2.998839e+001,4.815867e-004,5.768231e-001,3.211821e-001,1.874395e+003,,,,,,,,,,,
,,,,,,,3.076539e+001,4.589734e-004,5.771887e-001,2.983700e-001,1.874636e+003,,,,,,,,,,,
,,,,,,,3.156252e+001,4.329649e-004,5.775443e-001,2.743538e-001,1.874864e+003,,,,,,,,,,,
,,,,,,,3.238030e+001,4.050218e-004,5.778870e-001,2.501655e-001,1.875079e+003,,,,,,,,,,,
,,,,,,,3.321928e+001,3.765370e-004,5.782148e-001,2.266979e-001,1.875279e+003,,,,,,,,,,,
,,,,,,,3.407999e+001,3.485387e-004,5.785267e-001,2.045416e-001,1.875464e+003,,,,,,,,,,,
,,,,,,,3.496300e+001,3.221761e-004,5.788226e-001,1.842955e-001,1.875635e+003,,,,,,,,,,,
,,,,,,,3.586889e+001,2.979338e-004,5.791033e-001,1.661238e-001,1.875794e+003,,,,,,,,,,,
,,,,,,,3.679825e+001,2.762057e-004,5.793698e-001,1.501190e-001,1.875941e+003,,,,,,,,,,,
,,,,,,,3.775169e+001,2.571967e-004,5.796238e-001,1.362571e-001,1.876077e+003,,,,,,,,,,,
,,,,,,,3.872983e+001,2.407065e-004,5.798671e-001,1.243003e-001,1.876204e+003,,,,,,,,,,,
,,,,,,,3.973332e+001,2.267534e-004,5.801014e-001,1.141377e-001,1.876324e+003,,,,,,,,,,,
,,,,,,,4.076281e+001,2.150250e-004,5.803286e-001,1.055006e-001,1.876437e+003,,,,,,,,,,,
,,,,,,,4.181897e+001,2.052170e-004,5.805503e-001,9.814542e-002,1.876544e+003,,,,,,,,,,,
,,,,,,,4.290250e+001,1.970229e-004,5.807681e-001,9.184683e-002,1.876647e+003,,,,,,,,,,,
,,,,,,,4.401410e+001,1.900851e-004,5.809831e-001,8.637463e-002,1.876746e+003,,,,,,,,,,,
,,,,,,,4.515451e+001,1.840888e-004,5.811964e-001,8.153728e-002,1.876842e+003,,,,,,,,,,,
