,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
,,,,,,,2.179597e+001,2.085888e-003,8.422028e-001,1.914013e+000,1.923864e+003,,,,,,,,,,,
,,,,,,,2.234032e+001,1.679760e-003,8.432147e-001,1.503791e+000,1.924781e+003,,,,,,,,,,,
,,,,,,,2.289828e+001,1.510805e-003,8.440954e-001,1.319579e+000,1.925560e+003,,,,,,,,,,,
,,,,,,,2.347017e+001,1.501029e-003,8.449518e-001,1.279095e+000,1.926297e+003,,,,,,,,,,,
,,,,,,,2.405634e+001,1.596696e-003,8.458570e-001,1.327464e+000,1.927059e+003,,,,,,,,,,,
,,,,,,,2.465715e+001,1.735299e-003,8.468567e-001,1.407543e+000,1.927880e+003,,,,,,,,,,,
,,,,,,,2.527296e+001,1.886500e-003,8.479723e-001,1.492900e+000,1.928772e+003,,,,,,,,,,,
,,,,,,,2.590416e+001,2.024931e-003,8.492083e-001,1.563402e+000,1.929738e+003,,,,,,,,,,,
,,,,,,,2.655112e+001,2.134357e-003,8.505561e-001,1.607734e+000,1.930765e+003,,,,,,,,,,,
,,,,,,,2.721424e+001,2.216223e-003,8.520006e-001,1.628723e+000,1.931840e+003,,,,,,,,,,,
,,,,,,,2.789392e+001,2.265932e-003,8.535255e-001,1.624678e+000,1.932947e+003,,,,,,,,,,,
,,,,,,,2.859057e+001,2.287554e-003,8.551132e-001,1.600216e+000,1.934071e+003,,,,,,,,,,,
,,,,,,,2.930463e+001,2.285396e-003,8.567472e-001,1.559751e+000,1.935200e+003,,,,,,,,,,,
,,,,,,,3.003651e+001,2.264052e-003,8.584130e-001,1.507533e+000,1.936323e+003,,,,,,,,,,,
,,,,,,,3.078668e+001,2.229565e-003,8.600990e-001,1.448396e+000,1.937432e+003,,,,,,,,,,,
,,,,,,,3.155558e+001,2.187885e-003,8.617976e-001,1.386687e+000,1.938522e+003,,,,,,,,,,,
,,,,,,,3.234369e+001,2.144408e-003,8.635044e-001,1.326013e+000,1.939591e+003,,,,,,,,,,,
,,,,,,,3.315148e+001,2.102276e-003,8.652191e-001,1.268285e+000,1.940638e+003,,,,,,,,,,,
,,,,,,,3.397944e+001,2.064901e-003,8.669439e-001,1.215383e+000,1.941666e+003,,,,,,,,,,,
,,,,,,,3.482808e+001,2.030043e-003,8.686814e-001,1.165751e+000,1.942676e+003,,,,,,,,,,,
,,,,,,,3.569792e+001,1.995493e-003,8.704321e-001,1.117988e+000,1.943669e+003,,,,,,,,,,,
